Kabupaten,Kecamatan,Jenis Wilayah,Nama Desa/Kelurahan
Banjarnegara,Banjarmangu,Desa,Banjarkulon
Banjarnegara,Banjarmangu,Desa,Banjarmangu
Banjarnegara,Banjarmangu,Desa,Beji
Banjarnegara,Banjarmangu,Desa,Gripit
Banjarnegara,Banjarmangu,Desa,Jenggawur
Banjarnegara,Banjarmangu,Desa,Kalilunjar
Banjarnegara,Banjarmangu,Desa,Kendaga
Banjarnegara,Banjarmangu,Desa,Kesenet
Banjarnegara,Banjarmangu,Desa,Majatengah
Banjarnegara,Banjarmangu,Desa,Paseh
Banjarnegara,Banjarmangu,Desa,Pekandangan
Banjarnegara,Banjarmangu,Desa,Prendengan
Banjarnegara,Banjarmangu,Desa,Rejasari
Banjarnegara,Banjarmangu,Desa,Sigeblok
Banjarnegara,Banjarmangu,Desa,Sijenggung
Banjarnegara,Banjarmangu,Desa,Sijeruk
Banjarnegara,Banjarmangu,Desa,Sipedang
Banjarnegara,Banjarnegara,Kelurahan,Argasoka
Banjarnegara,Banjarnegara,Kelurahan,Karangtengah
Banjarnegara,Banjarnegara,Kelurahan,Krandegan
Banjarnegara,Banjarnegara,Kelurahan,Kutabanjarnegara
Banjarnegara,Banjarnegara,Kelurahan,Parakancanggah
Banjarnegara,Banjarnegara,Kelurahan,Semampir
Banjarnegara,Banjarnegara,Kelurahan,Semarang
Banjarnegara,Banjarnegara,Kelurahan,Sokanandi
Banjarnegara,Banjarnegara,Kelurahan,Wangon
Banjarnegara,Banjarnegara,Desa,Ampelsari
Banjarnegara,Banjarnegara,Desa,Cendana
Banjarnegara,Banjarnegara,Desa,Sokayasa
Banjarnegara,Banjarnegara,Desa,Tlagawera
Banjarnegara,Batur,Desa,Bakal
Banjarnegara,Batur,Desa,Batur
Banjarnegara,Batur,Desa,Dieng Kulon
Banjarnegara,Batur,Desa,Karangtengah
Banjarnegara,Batur,Desa,Kepakisan
Banjarnegara,Batur,Desa,Pasurenan
Banjarnegara,Batur,Desa,Pekasiran
Banjarnegara,Batur,Desa,Sumberejo
Banjarnegara,Bawang,Desa,Bandingan
Banjarnegara,Bawang,Desa,Bawang
Banjarnegara,Bawang,Desa,Binorong
Banjarnegara,Bawang,Desa,Blambangan
Banjarnegara,Bawang,Desa,Depok
